2020-10-29 14:54:27: [192.168.1.4] login:  Create Token for user:  Method: POST, path: /api/login
2020-10-29 14:54:30: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:54:35: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:54:40: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:54:42: [192.168.1.4] login: shah Exit click by Admin:  Method: POST, path: /api/users/exit/22
2020-10-29 14:54:45: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:54:50: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:54:55: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:54:56: [192.168.1.4] login: shah Get user state by id:  Method: GET, path: /api/users/22/info
2020-10-29 14:55:00: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:55:05: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:55:10: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:55:15: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:55:20: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:55:25: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:55:30: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:55:35: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:55:44: [192.168.1.4] login:  Create Token for user:  Method: POST, path: /api/login
2020-10-29 14:55:46: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:55:49: [192.168.1.4] login: shah Get user state by id:  Method: GET, path: /api/users/22/info
2020-10-29 14:55:51: [192.168.1.4] login: shah Get user by id:  Method: GET, path: /api/user-worktime
2020-10-29 14:55:53: [192.168.1.4] login: shah Get report:  Method: GET, path: /api/report
2020-10-29 14:56:07: [192.168.1.4] login: shah Get report:  Method: GET, path: /api/report
2020-10-29 14:56:42: [192.168.1.4] login: shah Get report:  Method: GET, path: /api/report
2020-10-29 14:56:55: [192.168.1.4] login: shah Get report:  Method: GET, path: /api/report
2020-10-29 14:57:03: [192.168.1.4] login: shah Get report:  Method: GET, path: /api/report
2020-10-29 14:57:06: [192.168.1.4] login: shah Get report:  Method: GET, path: /api/report
2020-10-29 14:57:07: [192.168.1.4] login: shah Get report:  Method: GET, path: /api/report
